iter	Passed	Remaining
407	4864	1096
408	4873	1084
409	4884	1072
410	4896	1060
411	4906	1047
412	4915	1035
413	4927	1023
414	4938	1011
415	4948	999
416	4960	987
417	4972	975
418	4981	962
419	4992	951
420	5004	939
421	5014	926
422	5025	914
423	5035	902
424	5046	890
425	5056	878
426	5065	866
427	5076	854
428	5089	842
429	5103	830
430	5115	818
431	5127	807
432	5140	795
433	5156	784
434	5172	772
435	5185	761
436	5197	749
437	5220	738
438	5243	728
439	5260	717
440	5275	705
441	5286	693
442	5295	681
443	5307	669
444	5318	657
445	5330	645
446	5342	633
447	5351	621
448	5361	608
449	5373	597
450	5382	584
451	5392	572
452	5406	560
453	5415	548
454	5426	536
455	5436	524
456	5447	512
457	5459	500
458	5470	488
459	5482	476
460	5495	464
461	5507	453
462	5518	440
463	5530	429
464	5541	417
465	5553	405
466	5562	393
467	5572	380
468	5582	368
469	5592	356
470	5601	344
471	5613	332
472	5622	320
473	5634	309
474	5643	297
475	5654	285
476	5664	273
477	5675	261
478	5686	249
479	5696	237
480	5707	225
481	5718	213
482	5727	201
483	5738	189
484	5749	177
485	5759	165
486	5769	154
487	5781	142
488	5791	130
489	5802	118
490	5813	106
491	5823	94
492	5833	82
493	5844	70
494	5855	59
495	5867	47
496	5878	35
497	5889	23
498	5901	11
499	5913	0
